ID,Latitide,Longitude,Dealership,Product type,Product condition,Service,Adress,,,,
1,43.20298,-79.89644,Volvo Cars Hamilton,Car,Both,Yes,"57 Rymal Rd W, Hamilton, ON L9B 1B5",,,,
2,43.198219,-79.894089,Mountain Hyundai,Car,Both,Yes,"1739 Upper James St, Hamilton, ON L9B 1K7",,,,
3,43.191212,-79.897614,Leggat Mazda,Car,Both,Yes,"1977 Upper James St, Hamilton, ON L9B 1K8",,,,
4,43.193291,-79.896988,Kia of Hamilton,Car,Both,Yes,"1885 Upper James St, Hamilton, ON L9B 1K8",,,,
5,43.200608,-79.894789,Rightride Hamilton,Car,Both,No,"1670 Upper James St, Hamilton ON L9B 1K5",,,,
6,43.20265,-79.89079,Airport Ford Lincoln,Car,Both,Yes,"49 Rymal Road East, Hamilton ON L9B 1B9",,,,
7,43.20474,-79.8912,Plaza Nisan,Car, Both,Yes,"1545 Upper James St, Hamilton, ON L9B 1K2",,,,
8,43.20525,-79.89092,Acura of Hamilton,Car,Both,Yes,"1515 Upper James Street, Hamilton ON L9B 1K2",,,,
9,43.206899,-79.89014,Budds' BMW,Car,Both,Yes,"1471 Upper James St, Hamilton, ON L9B 1K2",,,,
10,43.21735,-79.886574,Johnston Chrysler,Car,Both,Yes,"1350 Upper James St, Hamilton, ON L9C 3B4",,,,
11,43.21616,-79.8875,John Bear Hamilton(Cadillac),Car,Both,Yes,"1200 Upper James Street, Hamilton, ON L9C 3B1",,,,
12,43.227498,-79.976193,Giant Ancaster,Bike,New,Yes,"365 Wilson St E, Ancaster, ON L9G 2C1",,,,
13,43.22076,-79.98231,Village Auto,Car,Used,No,"116 Wilson St E, Ancaster, ON L9G 2B",,,,
14,43.22337,-79.87415,Jacks Auto Sales,Car,Used,No,"1020 Upper Wellington St, Hamilton, ON L9A 3S3",,,,
15,43.23835,-79.87715,Station BMX,Bike,New,Yes,"637 Upper James St, Hamilton, ON L9C 2Y9",,,,
16,43.266229,-79.95415,Freewheel cycle,Bike,New,Yes,"9 King St W, Dundas ON L9H 1T5",,,,
17,43.224938,-79.883908,Mohawk Ford,Car,Both,Yes,"930 Upper James St, Hamilton, ON L9C 3A5",,,,
18,43.196043,-80.023405,Ancaster Toyota,Car,Both,Yes,"30 Mason Dr, Ancaster, ON L9G 3K9",,,,
19,43.264136,-79.946319,Old Brock Auto Sales ,Car,Used,No,"344 Old Brock Rd, Dundas, ON L9H 5H6",,,,
20,43.189554,-79.843263,Right Way Auto Sales,Car,Used,Yes,"1124 Rymal Rd E Unit 5, Hamilton, ON L8W 3N7",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
